"team_name","team_stadium_name","team_stadium_dms_coordinates"
"Ravens","M&T Bank Stadium","39°16'41""N 76°37'22""W"
"Bills","Highmark Stadium","42°46'25""N 78°47'13""W"
"Bengals","Paul Brown Stadium","39°05'46""N 84°31'00""W"
"Browns","Cleveland Municipal Stadium","41°30'22""N 81°41'58""W"
"Broncos","Empower Field at Mile High","39°44'38""N 105°1'12""W"
"Texans","NRG Stadium","29°41'04""N 95°24'38""W"
"Colts","Lucas Oil Stadium","39°45'36""N 86°9'49""W"
"Jaguars","EverBank Stadium","30°19'26""N 81°38'15""W"
"Chiefs","Arrowhead Stadium","39°02'56""N 94°29'02""W"
"Raiders","Allegiant Stadium","36°05'27""N 115°10'59""W"
"Chargers","SoFi Stadium","33°57'12""N 118°20'20""W"
"Dolphins","Hard Rock Stadium","25°57'27""N 80°14'20""W"
"Patriots","Gillette Stadium","42°05'27""N 71°15'50""W"
"Jets","MetLife Stadium","40°48'48""N 74°04'27""W"
"Steelers","Acrisure Stadium","40°26'48""N 80°0'57""W"
"Titans","Nissan Stadium","36°9'59″N 86°46'17″W"
"Cardinals","State Farm Stadium","33°31'38""N 112°15'45""W"
"Falcons","Mercedes-Benz Stadium","33°45'20""N 84°24'00""W"
"Panthers","Bank of America Stadium","35°13'32""N 80°31'10""W"
"Bears","Soldier Field","41°51'44""N 87°37'00""W"
"Cowboys","AT&T Stadium","32°44'52""N 97°05'34""W"
"Lions","Ford Field","42°20'24""N 83°2'44""W"
"Packers","Lambeau Field","44°30'04""N 88°03'43""W"
"Rams","SoFi Stadium","33°57'12""N 118°20'20""W"
"Vikings","U.S. Bank Stadium","44°58'25""N 93°15'26""W"
"Saints","Caesars Superdome","29°57'3""N 90°4'52""W"
"Giants","Giants Stadium","40°48'48""N 74°04'27""W"
"Eagles","Lincoln Financial Field","39°54'02""N 75°10'02""W"
"49ers","Levi's Stadium","37°24'11""N 121°58'11""W"
"Seahawks","Lumen Field","47°35'42""N 122°19'53""W"
"Buccaneers","Raymond James Stadium","27°58'33""N 82°30'12""W"
"Redskins","FedExField","38°54'28""N 76°51'52""W"
